Population	Obs_igORF	Exp_igORF	igRF_loci	Obs_asORF0	Obs_asORF1	Obs_asORF2	Exp_asORF0	Exp_asORF1	Exp_asORF2	asRF_loci
AK	1323699	1953590	2147483647	174	279	164	123	146	156	596786
DK	1280190	1877477	2147483647	149	286	169	123	147	158	589915
GI	1371327	2024171	2147483647	170	250	180	133	158	169	630041
SW	1316219	1937273	2147483647	147	254	176	126	150	161	594764
UM	1316515	1935409	2147483647	154	265	157	126	150	161	588753
YE	1349122	1988489	2147483647	218	483	238	189	224	239	928645
ZB	1269809	1858742	2147483647	126	288	216	126	152	163	584516
